GVOG	num_proteins_in_GVOG	Mean_Length	consensus_NCVOG	NCVOG_descs	consensus_NOGs	nog_descs	nog_categories	consensus_pfams	pfam_descs
GVOG11322	8	718	NCVOG2058 | NCVOG0699 | NCVOG4462 | NCVOG4344 | NCVOG4468 | NCVOG2860 | NCVOG4414 | NCVOG2734 | NCVOG4109 | NCVOG4116 | NCVOG2775 | NCVOG1013 | NCVOG4121 | NCVOG4579 | NCVOG2900 | NCVOG4122 | NCVOG4123 | NCVOG4404 | NCVOG4372 | NCVOG0822 | NCVOG0451 | NCVOG4676 | NCVOG4371 | NCVOG4441 | NCVOG4430 | NCVOG4001	ankyrin repeat protein | ankyrin repeat protein | ankyrin repeat protein | ankyrin repeat protein | ankyrin repeat protein | ankyrin repeat protein | ankyrin repeat protein | ankyrin repeat protein | ankyrin repeat protein | ankyrin repeat protein | ankyrin repeat protein | hypothetical protein, similar to ankyrin | ankyrin repeat protein | ankyrin repeat protein | ankyrin repeat protein | ankyrin repeat protein | ankyrin repeat protein | ankyrin repeat protein | ankyrin repeat protein | ankyrin repeat protein | ankyrin repeat protein | ankyrin repeat protein | uncharacterized protein | ankyrin repeat protein | ankyrin repeat protein | ankyrin repeat protein	2SX9X | KOG0509 | 2R4UA | KOG1709 | 2RF76 | 2RCJE | 2RX11 | 2QXWS | 2SVAA | 34C7U | 2QQ81 | 2S48R | 2SD9J | 2SXAG | KOG0506 | 2QPWC | 2R0Z5 | 2RI0J | KOG2209 | 2SZHQ | 2T53U | 2QW3G | KOG0522 | KOG0676 | 2SXSR | 2TGTB | 2S1IC | KOG0503 | 322ET | 2QUEG | 2REWV | 2SZ3G | 2SNTY | 2SDMN | 2RP98 | KOG0505 | KOG3836 | 2SDAG | 2RPUM | 2QRZ2 | KOG2505 | KOG0515 | 2RMJ4 | 2S9R3 | KOG4412 | 2T48I | 2Z87K | 2QW4C | KOG0045 | 2QR0R | 2SUDD | 2SKJ7 | KOG1487 | 2SG6K | 2RZ5N | 2QR1Y | 2TE7C | 2S1WH | KOG0826 | KOG2384 | 2SXJR | 2R9K7 | 2SEUP | 2S4CU | 2SPWI | 2QSMY | 2QRMC | KOG0511 | 2SFAC | KOG0520 | KOG0510 | 2T0UZ | 2RRJB | 2S0Q0 | 2RVMY | 2SGMQ | 2SQZW | KOG0502 | 2QRTX | 2S5MP | 2SUCG | 2TDDH | 2RKAZ | 2R2Y7 | 2QXSY | 2S11V | 2SBUM | 30JSS | 2SFYF | 2R36Z | 2SQKF | KOG2421 | KOG4214 | KOG1037 | 2SFXD | 2SGWP | 2S5AQ | 2QWG2 | 2SXYB | KOG0705 | KOG0508 | 2TE40 | 2T2CY | 2SH3E | 2QSQY | KOG2988 | 2S3QK | 2SPVX | 2SK1J | KOG0817 | 2SC0H | 2QQJP | 2RRDI | 2RV4I | 2QRWZ | 2T032 | 2T8DJ | 2QUT2 | KOG4375 | KOG4591 | 2R3ZQ | 2S3SA | 2S805 | 2SGEC | 33ZS6 | 2SCU4 | 2S4H1 | 2SDQK | 2SZH0 | 2QQG5 | 30JSU | 2SCCH | KOG1734 | 2SKHS | 2RX9V | 2QVGH | 2SQQX | 2QVDE | 2S4K7 | 2RS4T | KOG0507 | 2S5BG | 2SGQS | 2RX9F | 2ZI8S | 2QWPF | 34CCD | 2RA5V | 2SREV | 2SAWZ | 2QTJR | 2T4E5 | 2RRCB | 2SDGK | KOG3609 | 2R6IB | 2SJ09 | 2QT8J | KOG4335 | KOG3737 | 2SBMK | 2S7JB | 2SEUK | 2T33M | 2QT4A | COG5627 | 2SQRQ | KOG0695 | 2RXBZ | 2SFAS | 2RWTC | 2RHBR | KOG0195 | 2QS0Y | KOG4369 | 2RS6K | KOG4485 | 33WTB | 33YJW | 2S2EY | 2QTMZ | KOG0843 | 2SBC5 | 2SR4N | 2QTZB | 2S01I | 2RBM7 | 2RTFX | 2R9GE | KOG0514 | 2QQ0K | 2S104 | 2SG4C | 2TIIZ | KOG1103 | 2SM5C | arCOG04004 | 2T3ZI | 2SEKI | 2SY3D | 2T01U | 2RH8I | 2SZKD | 2SUVW | 2RJK4 | 2SDKM | 2SQR9 | 2SW0U | 2S93D | KOG0782 | 2SWMV | 2QPYN | 2SAPU | 2QVYS | KOG0512 | 2S4MW | 2RTAH | 2RN7Z | 2TMN1 | KOG0818 | KOG1710 | 2RNRB | 2SRF2	Ankyrin repeat | protein-cysteine S-palmitoyltransferase activity | Ankyrin repeats (many copies) | protein-arginine N5-methyltransferase activity | unknown | ankyrin repeats | unknown | Ankyrin Repeat | Ankyrin repeats (3 copies) | Ankyrin repeats (3 copies) | ubiquitin protein ligase binding | ankyrin repeats | Domain of unknown function (DUF3447) | Ankyrin repeat | glutamine catabolic process | positive regulation of transcription involved in G1/S transition of mitotic cell cycle | Ankyrin repeat | Ankyrin repeats (many copies) | lipid transport | SPRY domain | ankyrin repeats | Ankyrin repeat | protein retention in ER lumen | ATP binding | unknown | unknown | ankyrin repeats | asparagine catabolic process | ankyrin repeats | spermatogenesis | ankyrin repeats | Ankyrin repeats (many copies) | Ankyrin repeats (many copies) | Ankyrin repeat | ankyrin repeats | positive regulation of myosin-light-chain-phosphatase activity | positive regulation of unsaturated fatty acid biosynthetic process by positive regulation of transcription from RNA polymerase II promoter | ankyrin repeats | ankyrin repeats | Ankyrin Repeat | mitochondria-associated ubiquitin-dependent protein catabolic process | apoptotic process | unknown | Ankyrin repeats (many copies) | proteasome regulatory particle assembly | Endoribonuclease L-PSP | COG0666 FOG Ankyrin repeat | ankyrin repeats | calcium-dependent cysteine-type endopeptidase activity | negative regulation of fat cell differentiation | Ankyrin repeats (3 copies) | ankyrin repeats | GTP-binding protein | Ankyrin repeats (3 copies) | negative regulation of histone H3-K36 methylation | protein ubiquitination | ankyrin repeats | Ankyrin repeats (3 copies) | protein import into peroxisome matrix | glycine rich nucleic binding domain | Ankyrin repeats (3 copies) | Ankyrin repeat | Ankyrin repeat | ankyrin repeats | ankyrin repeats | BCL6 co-repressor-like | DIL | ubiquitin protein ligase binding | Ankyrin repeat | proximal promoter DNA-binding transcription activator activity, RNA polymerase II-specific | temperature-gated cation channel activity | Ankyrin repeat | Putative S-adenosyl-L-methionine-dependent methyltransferase | protein ubiquitination | ankyrin repeats | Ankyrin repeat | unknown | nerve growth factor signaling pathway | GA binding protein transcription factor beta subunit | Ankyrin repeats (3 copies) | ankyrin repeats | Ankyrin repeat | Prolyl 4-hydroxylase alpha subunit homologues. | Ankyrin repeat | Armadillo/beta-catenin-like repeats | Ankyrin repeat | ankyrin repeats | Ankyrin repeat | ankyrin repeats | Domain with 2 conserved Trp (W) residues | ankyrin repeats | glycerophosphocholine phosphodiesterase activity | regulation of barbed-end actin filament capping | NAD+ ADP-ribosyltransferase activity | Ankyrin repeats (many copies) | Ankyrin repeats (many copies) | Ankyrin repeat | SH3 domain binding | unknown | GTPase activator activity | EP4 subtype prostaglandin E2 receptor binding | Ankyrin repeat | Ankyrin repeats (many copies) | Ankyrin repeat | ubiquitin protein ligase binding | structural constituent of ribosome | Ankyrin repeats (3 copies) | NACHT domain | unknown | fatty-acyl-CoA binding | Ankyrin repeat | Possible plasma membrane-binding motif in junctophilins, PIP-5-kinases and protein kinases. | Ankyrin repeat | Ankyrin repeat | negative regulation of transcription regulatory region DNA binding | Ankyrin repeats (many copies) | Ankyrin repeats (many copies) | Ankyrin repeats (3 copies) | determination of affect | positive regulation of pinocytosis | Vacuolar sorting protein 9 (VPS9) domain | Zinc finger, C3HC4 type (RING finger) | PhoX homologous domain, present in p47phox and p40phox. | unknown | unknown | ankyrin repeats | Ankyrin repeat | ankyrin repeats | ankyrin repeats | face morphogenesis | Ankyrin repeats (3 copies) | Ankyrin repeat | endoplasmic reticulum unfolded protein response | Ankyrin repeats (3 copies) | Zinc finger, C3HC4 type (RING finger) | Ankyrin repeat | Domain with 2 conserved Trp (W) residues | Ankyrin repeat | Lysine methyltransferase | Ankyrin repeat | Ankyrin repeat and sterile alpha motif | ankyrin repeats | Ankyrin repeats (3 copies) | Ankyrin repeat | Ankyrin repeats (3 copies) | Protein kinase C conserved region 2 (CalB) | Ankyrin repeat | ankyrin repeats | unknown | Ankyrin repeat | Fn3 associated | unknown | Ankyrin repeats (many copies) | Ankyrin repeat | store-operated calcium channel activity | ankyrin repeats | NACHT domain | ankyrin repeats | negative regulation of endothelial cell apoptotic process | N-acetylgalactosaminyltransferase 7 | unknown | Ankyrin repeats (many copies) | Ankyrin repeats (many copies) | ankyrin repeats | Ankyrin repeats (many copies) | protein ubiquitination | unknown | protein kinase C activity | unknown | protein ubiquitination | Ankyrin repeat | Ankyrin repeat | integrin-mediated signaling pathway | Ankyrin repeats (3 copies) | positive regulation of MDA-5 signaling pathway | Ankyrin Repeat Protein | fibroblast growth factor receptor signaling pathway involved in neural plate anterior/posterior pattern formation | unknown | Ankyrin repeat | FAM220 family | negative regulation of lipopolysaccharide-mediated signaling pathway | DNA binding | Ankyrin repeats (3 copies) | Ankyrin repeat | SH3 domain binding | Ankyrin repeats (many copies) | ankyrin repeats | Ankyrin repeat | Ankyrin repeat | negative regulation of vitamin D receptor signaling pathway | Ankyrin repeats (many copies) | C-terminal of Roc, COR, domain | Ankyrin repeat | unknown | protein phosphatase 2A binding | unknown | ankyrin repeat | unknown | Ankyrin repeats (3 copies) | Ankyrin repeat | Ankyrin repeats (many copies) | Ankyrin repeats (many copies) | Ankyrin repeat | Ankyrin repeats (many copies) | ankyrin repeats | Ankyrin repeat | ankyrin repeats | Ankyrin repeat | ankyrin repeats | diacylglycerol kinase activity | Ankyrin repeat | regulation of NIK/NF-kappaB signaling | MYND finger | ankyrin repeats | spermatogenesis | zinc finger | Ankyrin repeats (3 copies) | Ankyrin repeats (3 copies) | Heterokaryon incompatibility protein (HET) | ARF GTPase-activating protein | regulation of smoothened signaling pathway | ankyrin repeats | Ankyrin repeats (many copies)	DTZ | C | E | KLT | M | S | U | EJ | Q | A | BQ | O | L | H | Z | I | G | J | K | T	PF13606 | PF13857 | PF00023 | PF12796 | PF13637	Ank; Ank_3; Ankyrin repeat | Ank; Ank_5; Ankyrin repeats (many copies) | Ank; Ank; Ankyrin repeat | Ank; Ank_2; Ankyrin repeats (3 copies) | Ank; Ank_4; Ankyrin repeats (many copies)
GVOG08805	8	109.5	no_annot	no_annotation	no_annot	no_annote	no_annote	no_annot	no_annote
GVOG10465	8	215.5	no_annot	no_annotation	arCOG03850	Methyltransferase domain	M	PF13578	NADP_Rossmann; Methyltransf_24; Methyltransferase domain
GVOG02408	8	939	no_annot	no_annotation	2QR4X | arCOG03914 | COG2132	copper ion binding | Multicopper | Multicopper oxidase	Q	PF07732 | PF07731	CU_oxidase; Cu-oxidase_3; Multicopper oxidase | CU_oxidase; Cu-oxidase_2; Multicopper oxidase
GVOG09951	8	219.5	NCVOG0231	MORN repeat proteins and some others	no_annot	no_annote	no_annote	no_annot	no_annote
GVOG05493	8	121.5			no_annot	no_annote	no_annote	no_annot	no_annote
GVOG06331	8	422.5	no_annot	no_annotation	no_annot	no_annote	no_annote	no_annot	no_annote
GVOG03448	8	124	no_annot	no_annotation	no_annot	no_annote	no_annote	no_annot	no_annote
GVOG00160	8	226	no_annot	no_annotation	no_annot	no_annote	no_annote	no_annot	no_annote
GVOG08701	8	277.5	no_annot	no_annotation	32GDV	unknown	S	PF18588	; WcbI; Polysaccharide biosynthesis enzyme WcbI
GVOG12031	8	49	no_annot	no_annotation	no_annot	no_annote	no_annote	no_annot	no_annote
GVOG01383	8	201	NCVOG0925	uncharacterized protein	no_annot	no_annote	no_annote		
GVOG01303	8	150	no_annot	no_annotation	32D95	unknown	S	no_annot	no_annote
GVOG01576	8	175.5	no_annot	no_annotation	no_annot	no_annote	no_annote	no_annot	no_annote
GVOG14199	8	568.5	NCVOG2058 | NCVOG0699 | NCVOG4462 | NCVOG4371 | NCVOG4112 | NCVOG4111 | NCVOG4372 | NCVOG4414 | NCVOG2734 | NCVOG2443 | NCVOG4445 | NCVOG4118 | NCVOG1407 | NCVOG0177 | NCVOG4115 | NCVOG4467 | NCVOG1013 | NCVOG1408 | NCVOG4001 | NCVOG4579 | NCVOG2900 | NCVOG0244 | NCVOG2860 | NCVOG4407 | NCVOG4116 | NCVOG4121 | NCVOG4421 | NCVOG4123 | NCVOG4468 | NCVOG0174 | NCVOG2775 | NCVOG0822 | NCVOG0451 | NCVOG4676 | NCVOG4344 | NCVOG0178 | NCVOG4430 | NCVOG4423 | NCVOG0710 | NCVOG4122	ankyrin repeat protein | ankyrin repeat protein | ankyrin repeat protein | uncharacterized protein | ankyrin repeat protein | ankyrin repeat protein | ankyrin repeat protein | ankyrin repeat protein | ankyrin repeat protein | ankyrin repeat protein | ankyrin repeat protein | ankyrin repeat protein | ankyrin repeat protein | uncharacterized protein | ankyrin repeat protein | ankyrin repeat protein | hypothetical protein, similar to ankyrin | ankyrin repeat protein | ankyrin repeat protein | ankyrin repeat protein | ankyrin repeat protein | ankyrin repeat protein | ankyrin repeat protein | ankyrin repeat protein | ankyrin repeat protein | ankyrin repeat protein | ankyrin repeat protein | ankyrin repeat protein | ankyrin repeat protein | ankyrin repeat protein | ankyrin repeat protein | ankyrin repeat protein | ankyrin repeat protein | ankyrin repeat protein | ankyrin repeat protein | ankyrin repeat protein | ankyrin repeat protein | ankyrin repeat protein | uncharacterized protein | ankyrin repeat protein	2SX9X | KOG0509 | 2TART | 2S56H | KOG0783 | 2R4UA | KOG1709 | 2REU9 | 2SDMN | 2RX11 | 2T83T | 2RKX2 | 2S48R | 2S547 | 2SD9J | 2SXAG | KOG0506 | 2QPWC | 2S3QK | 2SZZ8 | 2RI0J | 2S6G5 | 2TMD9 | 2R8ZJ | 2T9RW | 2SZHQ | 2QUTG | 2S47Z | 2TDDH | 2T75C | 2SQRB | KOG0522 | KOG0676 | 33XXB | 2S469 | 2TGTB | 2SGF8 | 2T321 | 2RT3C | KOG0503 | 2QRZ2 | 2QUEG | 2ZI5D | 2SNTY | 2RCJE | 2RP98 | KOG0505 | KOG3836 | 2QXWS | 2SDAG | 2TH2A | 2SCIQ | 2SVAA | 2RPUM | KOG2505 | KOG0515 | 2SV7K | 2RMJ4 | 2SWX1 | 2S9R3 | KOG4412 | 30WAU | 2Z87K | KOG0045 | 2QR0R | 2R3ZQ | 2SUI5 | 2QQ81 | KOG1487 | 2SG6K | 2S3SA | 2TE7C | 2S805 | 2SQR9 | 2S1WH | KOG0826 | 2SDWP | KOG2384 | 2SXJR | 2R9K7 | 2SEUP | COG4908 | 2S4CU | 2SPWI | 2QSMY | 2QRMC | KOG0511 | 2SFAC | 2SGYC | KOG0520 | KOG0510 | 2T0UZ | 2TGQN | 2RRJB | 2S0Q0 | 2SCU4 | 2SGMQ | KOG0502 | 2T01U | 2RF76 | 2S036 | 2RKAZ | 2R2Y7 | 2QXSY | 2S11V | 2SBUM | 30JSS | 2S4FP | 2SFYF | 2R36Z | 2SKJ7 | 2SQKF | 2QRCY | 2QR1Y | 2ZS4Q | 322ET | KOG2421 | 30IPN | 2RA5W | KOG4214 | KOG1037 | 2SFXD | 2SUBJ | 2SGWP | 2RYRG | 2S4MW | 2SBX1 | 2SGPB | 2QWG2 | KOG0508 | 2R8NN | 2TE40 | 2SDKM | 2SFAS | 2T2CY | 31M12 | 2SDQK | 31NS3 | 2T53U | 2SUDD | 2SQZW | 2RPVI | 2SRC8 | 2SH3E | 2QSQY | KOG2988 | 2RCMB | 2S5AQ | 2R5AM | 2S104 | 2STEW | 2SK1J | 2RTCG | 2QRRT | KOG0817 | 2RTAH | 2SX4G | KOG0705 | KOG4041 | 2SC0H | 2QQJP | 2SWCJ | 2RRDI | 2RV4I | 3166X | 2QW3G | 2QRWZ | 2S1IC | 2T8DJ | 2S93D | 2QTJR | 2QUT2 | 2TA8Q | 2S676 | KOG4375 | KOG4591 | 2R0Z5 | 2RZ5N | 2T36M | 2SGEC | 33ZS6 | 2RVMY | 2S4H1 | 2SBM3 | 30T7F | 32RN9 | 2SZH0 | 2QQG5 | 30JSU | 2SCCH | 2RPVH | KOG1734 | 2SKHS | 2SA1H | 2RX9V | 2SHSU | 33XG2 | 2TMSE | 2T363 | 2QVDE | 2S4K7 | 2SM5C | 2S9E9 | 2RS4T | 2RJFV | 2RXAT | KOG0507 | 2S5BG | 337BV | 2SE06 | KOG3435 | 2TCB0 | 2SGQS | 34CCD | 2RX9F | 2ZI8S | 2SWMV | 2T5PH | 2QWPF | 2RA5V | 2SREV | 2SAWZ | 2SPEJ | 2SZK6 | 2T032 | 2TDQU | 2RRCB | 2SDGK | KOG3609 | 2S7RX | 2R16Z | 2S098 | 2S5MP | KOG2209 | 2QT8J | KOG4335 | KOG3737 | 2SBMK | 2S7JB | 2SEUK | 2T33M | COG5627 | 2SQRQ | KOG0695 | 2T2RG | 2RXBZ | 2RWTC | 2RHBR | 2QPPI | KOG0195 | 2QS0Y | 2T339 | 2SDUB | KOG4369 | 2RS6K | KOG4485 | 33YJW | 2QUTW | 2QQ0K | 2S2EY | 2SY3D | 2SA56 | KOG0843 | 2SBC5 | 2SR4N | 2QTZB | 2T8HP | 2S01I | 2R2YI | 2TMN1 | 2RBM7 | 2RTFX | 2R9GE | KOG0514 | 2SPVX | 2THYU | 2SG4C | 2TIIZ | KOG1103 | arCOG04004 | 2T3ZI | 2SEKI | 2QTMZ | 2QRTX | 2RH8I | 2RUWA | 2SZKD | 2SUVW | 2R47P | 2RJK4 | 2QU61 | KOG1710 | 2SZ3G | 2SUNN | 2SW0U | 2QSZN | KOG0782 | 2RDDS | 2R69F | 2TD1T | 2QPYN | KOG3676 | 2SAPU | 2QVYS | KOG0512 | 2QT4A | 32QX8 | 2RN7Z | 2TDDR | KOG0818 | 2SJ8N | KOG3824 | 2RNRB | 2QWAI | 2SRF2 | 2RKRY	Ankyrin repeat | protein-cysteine S-palmitoyltransferase activity | Ankyrin repeats (many copies) | unknown | protein tyrosine kinase inhibitor activity | Ankyrin repeats (many copies) | protein-arginine N5-methyltransferase activity | Ankyrin repeat | Ankyrin repeat | unknown | Ankyrin repeat | Ankyrin repeats (many copies) | ankyrin repeats | Ly6/PLAUR domain-containing protein 6, Lypd6 | Domain of unknown function (DUF3447) | Ankyrin repeat | glutamine catabolic process | positive regulation of transcription involved in G1/S transition of mitotic cell cycle | Ankyrin repeats (3 copies) | ankyrin repeats | Ankyrin repeats (many copies) | Ankyrin repeat | unknown | Ankyrin repeat | Ankyrin repeats (3 copies) | SPRY domain | KilA-N | ankyrin repeats | Ankyrin repeat | Ankyrin repeats (many copies) | unknown | protein retention in ER lumen | ATP binding | Ankyrin repeat | IQ motif and ankyrin repeat domain-containing protein LOC642574-like | unknown | Ankyrin repeats (3 copies) | ankyrin repeats | unknown | asparagine catabolic process | Ankyrin Repeat | spermatogenesis | ankyrin repeats | Ankyrin repeats (many copies) | ankyrin repeats | ankyrin repeats | positive regulation of myosin-light-chain-phosphatase activity | positive regulation of unsaturated fatty acid biosynthetic process by positive regulation of transcription from RNA polymerase II promoter | Ankyrin Repeat | ankyrin repeats | Worm-specific (usually) N-terminal domain | Ankyrin repeats (many copies) | Ankyrin repeats (3 copies) | ankyrin repeats | mitochondria-associated ubiquitin-dependent protein catabolic process | apoptotic process | unknown | unknown | unknown | Ankyrin repeats (many copies) | proteasome regulatory particle assembly | Ankyrin repeats (many copies) | COG0666 FOG Ankyrin repeat | calcium-dependent cysteine-type endopeptidase activity | negative regulation of fat cell differentiation | Vacuolar sorting protein 9 (VPS9) domain | ankyrin repeats | ubiquitin protein ligase binding | GTP-binding protein | Ankyrin repeats (3 copies) | Zinc finger, C3HC4 type (RING finger) | ankyrin repeats | PhoX homologous domain, present in p47phox and p40phox. | ankyrin repeats | Ankyrin repeats (3 copies) | protein import into peroxisome matrix | Ankyrin repeats (many copies) | glycine rich nucleic binding domain | Ankyrin repeats (3 copies) | Ankyrin repeat | Ankyrin repeat | Psort location Cytoplasmic, score | ankyrin repeats | ankyrin repeats | BCL6 co-repressor-like | DIL | ubiquitin protein ligase binding | Ankyrin repeat | protein ubiquitination | proximal promoter DNA-binding transcription activator activity, RNA polymerase II-specific | temperature-gated cation channel activity | Ankyrin repeat | ankyrin repeats | Putative S-adenosyl-L-methionine-dependent methyltransferase | protein ubiquitination | ankyrin repeats | Ankyrin repeat | nerve growth factor signaling pathway | Ankyrin repeats (many copies) | unknown | Ankyrin repeats (3 copies) | Prolyl 4-hydroxylase alpha subunit homologues. | Ankyrin repeat | Armadillo/beta-catenin-like repeats | Ankyrin repeat | ankyrin repeats | Ankyrin repeat | unknown | ankyrin repeats | Domain with 2 conserved Trp (W) residues | ankyrin repeats | ankyrin repeats | Phosphate transport (Pho88) | protein ubiquitination | ankyrin repeats | ankyrin repeats | glycerophosphocholine phosphodiesterase activity | ankyrin repeats | ankyrin repeats | regulation of barbed-end actin filament capping | NAD+ ADP-ribosyltransferase activity | Ankyrin repeats (many copies) | Ankyrin repeats (3 copies) | Ankyrin repeats (many copies) | protein transport | zinc finger | Ankyrin repeats (many copies) | Ankyrin repeats (many copies) | SH3 domain binding | EP4 subtype prostaglandin E2 receptor binding | Zinc finger, C3HC4 type (RING finger) | Ankyrin repeat | Ankyrin repeat | protein ubiquitination | Ankyrin repeats (many copies) | unknown | ankyrin repeats | ankyrin repeats | ankyrin repeats | Ankyrin repeats (3 copies) | unknown | unknown | unknown | Ankyrin repeat | ubiquitin protein ligase binding | structural constituent of ribosome | Pleckstrin homology domain. | Ankyrin repeat | Ankyrin repeat | C-terminal of Roc, COR, domain | N-terminal domain on NACHT_NTPase and P-loop NTPases | unknown | unknown | unknown | fatty-acyl-CoA binding | Ankyrin repeats (3 copies) | ankyrin repeats | GTPase activator activity | protein phosphatase inhibitor activity | Ankyrin repeat | Possible plasma membrane-binding motif in junctophilins, PIP-5-kinases and protein kinases. | Ankyrin repeats (3 copies) | Ankyrin repeat | Ankyrin repeat | ankyrin repeats | Ankyrin repeat | negative regulation of transcription regulatory region DNA binding | ankyrin repeats | Ankyrin repeats (many copies) | ankyrin repeats | Fn3 associated | Ankyrin repeats (3 copies) | Ankyrin repeat | ankyrin repeats | determination of affect | positive regulation of pinocytosis | Ankyrin repeat | negative regulation of histone H3-K36 methylation | Ankyrin repeats (many copies) | unknown | unknown | ankyrin repeats | Ankyrin repeat | Domain of unknown function (DUF3447) | Ankyrin repeats (many copies) | ankyrin repeats | ankyrin repeats | face morphogenesis | Ankyrin repeats (3 copies) | Ankyrin repeat | Fungal N-terminal domain of STAND proteins | endoplasmic reticulum unfolded protein response | Ankyrin repeats (3 copies) | unknown | Zinc finger, C3HC4 type (RING finger) | ankyrin repeats | unknown | Ankyrin repeats (many copies) | ankyrin repeats | Ankyrin repeat | Lysine methyltransferase | unknown | Ankyrin repeats (many copies) | Ankyrin repeat | unknown | ankyrin repeats | Ankyrin repeat and sterile alpha motif | ankyrin repeats | unknown | Zinc finger domain | mitochondrial translation | Ankyrin repeat | Ankyrin repeats (3 copies) | Ankyrin repeat | Ankyrin repeat | Ankyrin repeats (3 copies) | Ankyrin repeat | unknown | Protein kinase C conserved region 2 (CalB) | ankyrin repeats | unknown | Ankyrin repeat | ankyrin repeats | unknown | Ankyrin repeats (many copies) | ankyrin repeats | Ankyrin repeats (many copies) | Ankyrin repeat | store-operated calcium channel activity | unknown | Ankyrin repeats (many copies) | Subtilase family | Ankyrin repeats (3 copies) | lipid transport | ankyrin repeats | negative regulation of endothelial cell apoptotic process | N-acetylgalactosaminyltransferase 7 | unknown | Ankyrin repeats (many copies) | Ankyrin repeats (many copies) | ankyrin repeats | protein ubiquitination | unknown | protein kinase C activity | Ankyrin repeat | unknown | Ankyrin repeat | Ankyrin repeat | Ankyrin repeat | integrin-mediated signaling pathway | Ankyrin repeats (3 copies) | Ankyrin repeat domain-containing protein 2. Source PGD | unknown | positive regulation of MDA-5 signaling pathway | Ankyrin Repeat Protein | fibroblast growth factor receptor signaling pathway involved in neural plate anterior/posterior pattern formation | Ankyrin repeat | ankyrin repeats | Ankyrin repeats (many copies) | FAM220 family | Ankyrin repeat | Ankyrin repeats (3 copies) | DNA binding | Ankyrin repeats (3 copies) | Ankyrin repeat | SH3 domain binding | unknown | Ankyrin repeats (many copies) | ankyrin repeats | Heterokaryon incompatibility protein (HET) | ankyrin repeats | Ankyrin repeat | Ankyrin repeat | negative regulation of vitamin D receptor signaling pathway | NACHT domain | unknown | Ankyrin repeat | unknown | protein phosphatase 2A binding | ankyrin repeat | unknown | Ankyrin repeats (3 copies) | negative regulation of lipopolysaccharide-mediated signaling pathway | GA binding protein transcription factor beta subunit | Ankyrin repeats (many copies) | unknown | Ankyrin repeat | Ankyrin repeats (many copies) | Pleckstrin homology domain. | ankyrin repeats | unknown | regulation of smoothened signaling pathway | Ankyrin repeats (many copies) | protein ubiquitination | Ankyrin repeat | intercellular bridge organization | diacylglycerol kinase activity | DnaJ molecular chaperone homology domain | Ankyrin repeat | ankyrin repeats | regulation of NIK/NF-kappaB signaling | calcium ion transmembrane transport | MYND finger | ankyrin repeats | spermatogenesis | Ankyrin repeats (many copies) | unknown | Ankyrin repeats (3 copies) | unknown | ARF GTPase-activating protein | ankyrin repeats | protein adenylyltransferase activity | ankyrin repeats | ankyrin repeats | Ankyrin repeats (many copies) | ankyrin repeats	DTZ | C | E | KLT | M | S | U | EJ | Q | A | BQ | O | L | H | Z | I | G | J | DZ | K | T	PF13857 | PF12796 | PF13606 | PF00023 | PF13637	Ank; Ank_5; Ankyrin repeats (many copies) | Ank; Ank_2; Ankyrin repeats (3 copies) | Ank; Ank_3; Ankyrin repeat | Ank; Ank; Ankyrin repeat | Ank; Ank_4; Ankyrin repeats (many copies)
