pVOGs	Host Domain	Number of Sequences	Number of Genomes	Number of Virus Families	Number of Virus Genera	Protein Annotations	Mapping to POGs 2013
VOG4585	Bacteria+Archaea	215	215	3	13	-; DNA binding domain protein; GTP binding protein; Hypothetical Protein; chromosome segregation protein; conserved uncharacterised protein; drpA-like ssDNA binding protein; drpA-like ssDNA-binding protein; dsDNA helicase; gp026; gp123; gp134; gp142; gp177; gp34.43; gp57; gp59; gp60; gp61; gp62; gp63; gp65; gp66; gp69; gp74; gp75; gp76; gp77; gp78; gp79; gp84; gp86; hypothetical protein; phosphoribosyl transferase; phosphoribosyltransferase; putative GTP-binding protein; putative chromosome segregation protein; putative predicted product; ssDNA binding protein	Partial union of: POG1084; POG3234
VOG4586	Bacteria	213	203	3	8	77ORF020; MPS-7201; ORF014; ORF017; ORF018; ORF021; Orf48; Orf50; Tsh; gp11; head-tail joining protein; hypothetical protein; major capsid protein; major structural protein; major tail protein; major tail protein 1; major tail protein extension; major tail protein, phi13 family; major tail protein1; major tail shaft protein; major tail structural protein; mayor tail protein; phage major tail protein; phage major tail protein, phi13 family subfamily; phage tail superfamily; phi PVL orf 13-like protein; phi13 family phage major tail protein; putative capsid; putative major capsid protein; putative major structural protein; putative major tail protein; putative major tail protein, Phi13 family; putative major tail tube protein; putative phage major tail protein; putative structural protein; tail protein; tail superfamily protein	Partial union of: POG0208; POG0932; POG0137
VOG4587	Bacteria+Archaea	212	212	3	5	AAA ATPase; AAA and cbbQ type domains containing protein; AAA family ATPase; AAA protein; AAA-ATPase; AAA_5 domain containing protein; AAA_5 domain-containing protein; ATPase; ATPase AAA; ATPase aaa family; ATPase family protein; CobS; CobS porphyrin biosynthetic protein; MoxR; MoxR ATPase; MoxR ATPase [Escherichia phage vB_EcoM_FFH2]; MoxR-like ATPase; N4 gp24-like protein; cobalamin biosynthesis protein CobS; cobalamin phosphate synthase like protein; cobalt chelatase subunit; gp107; gp128; gp131; gp136; gp158; gp24; gp24-like protein; gp566; gp90; hypothetical protein; porphyrin biosynthetic protein; putative AAA family ATPase; putative AAA superfamily ATPase; putative ATP/GTP binding protein; putative ATPase; putative ATPase-like protein; putative MoxR ATPase; putative cobalamin biosynthesis protein; putative cobalamin biosynthesis protein CobS; putative cobalt chelatase subunit; putative cobalt chelatase subunit CobS; putative porphyrin biosynthetic protein; putative predicted product; transcription regulator	Partial union of: POG0669; POG0381; POG2599
VOG4588	Bacteria	209	209	2	9	D-Ala-D-Ala carboxypeptidase; D-ala D-ala carboxypeptidase; D-ala-D-ala carboxypepsidase; D-ala-D-ala carboxypeptidase; D-ala-D-ala-carboxypeptidase; D-ala-D-ala-decarboxylase; D-alanine carboxypeptidase; D-alanyl D-alanine carboxypeptidase; D-alanyl-D-alanine carbooxypeptidase; D-alanyl-D-alanine carboxypeptidase; D-alanyl-D-alanine-carboxypeptidase; Putative beta lactamase; Putative beta-lactamase; carboxypeptidase; endonuclease VII; gp159; gp160; gp166; gp168; gp169; gp171; gp172; gp173; gp174; gp176; gp180; gp181; gp19; gp20; gp22; gp25; gp26; gp27; gp28; gp29; gp30; gp31; gp32; gp33; gp34; gp35; gp36; gp37; gp38; gp39; gp40; gp44; gp5; gp60; gp62; hypothetical protein; minor tail protein; minor tail protein (D-ala-D-ala carboxypeptidase); minor tail protein, D-ala-D-ala carboxypeptidase; minor tail protein/D-ala-D-ala carboxypeptidase; minor tail subunit; minor tail, D-ala-D-ala carboxypeptidase; putative beta lactamase; putative structural protein; structural protein; structural protein/ betalactamase; tail protein	Partial union of: POG1197; POG1216; POG1117; POG1193; POG2640
VOG4589	Bacteria	203	200	3	9	77ORF033; Gp8 protein; ORF027; ORF036; ORF042; Orf45; Orf47; coat protein; gp73; gp8; gp9; gp9, phage head-tail adaptor, putative; head tail adaptor protein; head tail joining protein; head-tail adapter protein; head-tail adaptor; head-tail adaptor gp7; head-tail adaptor protein; head-tail connector II; head-tail joining protein; head-tail-adapter; hypothetical protein; hypothetical protein [Escherichia phage vB_EcoM_FFH2]; p010; phage head-tail adapter protein; phage head-tail adaptor; phage head-tail joining protein; phi PVL orf 10-like protein; putative head connector protein; putative head tail adaptor; putative head tail joining protein; putative head-tail adapter; putative head-tail adaptor; putative head-tail adaptor protein; putative head-tail joining protein; putative phage head-tail adaptor; putative phage head-tail joining protein; putative predicted product	Partial union of: POG0538; POG3472; POG3425
VOG4590	Bacteria	201	201	3	5	N4 RIIB-like protein; N4 gp34-like protein; RIIB; RIIB Protector from prophage-induced early lysis; RIIB phage protein; RIIB protector from prophage-induced early lysis; RIIB protein; RIIB protein, fragment; RIIB-like protein; anti-prophage protein; gp15; helix-turn-helix domain protein; host ATPase affecting protein; host membrane ATPase affecting protein; hypothetical protein; lysis inhibitor; membrane integrity protector; membrane-associated protein; phage lysis inhibitor; protector from prophage-induced early lysis; protector from prophage-induced early lysis rIIB; protein rIIB; putative predicted product; putative protector from prophage-induced early lysis; putative protector from prophage-induced early lysis [Shigella phage Shfl2]; putative rIIB; putative rIIB protector; putative rIIB protector from prophage-induced early lysis; putative rIIB-like protein; putative rIIb; putative rIIb-like protein; rIIB; rIIB Protector from prophage-induced early lysis; rIIB lysis inhibitor; rIIB membrane-associated protein; rIIB protector; rIIB protector [Escherichia phage rv5]; rIIB protector from prophage-induced early lysis; rIIB protector from prophage-induced early lysis [Enterobacteria phage ime09]; rIIB protein; rIIB-like protein; rIIBr(C-terminus only); rIIb; rIIb protein; rllB-like protein	Partial union of: POG1338; POG4433
VOG4591	Bacteria	187	180	3	2	Bacteriophage T4 gp9/10-like protein; Putative baseplate wedge tail fiber connector; base plate wedge completion tail fiber socket; base plate wedge completion tail fiber socket, sheath contraction; base plate wedge component; base plate wedge tail fiber connector; baseplate structural protein; baseplate tail fiber connector; baseplate wedge; baseplate wedge component; baseplate wedge connector for long tail fiber; baseplate wedge subunit; baseplate wedge subunit and tail pin; baseplate wedge tail fiber; baseplate wedge tail fiber connector; baseplate wedge tail fiber connector [Escherichia phage e11/2]; baseplate wedge tail fiber connector protein; fiber protein; gp10 baseplate wedge subunit protein; gp10 baseplate wedge subunit/tail protein; gp9; gp9 base plate wedge completion tail fiber socket; gp9 base plate wedge completion tail fiber socket protein; gp9 baseplate tail fiber connector; gp9 baseplate wedge completion tail fiber socket; gp9 baseplate wedge completion tail fiber socket protein; gp9 baseplate wedge tail fiber connector; hypothetical protein; phage baseplate wedge; phage tail fiber-like protein; putative baseplate wedge tail fiber connector; putative baseplate wedge tail fiber connector [Shigella phage Shfl2]; putative predicted product; structural protein; tail fiber like protein; tail fiber-like protein; virion structural protein	Partial union of: POG1804; POG4427; POG4407
VOG4592	Bacteria	175	175	2	4	32; Phage tail fiber protein / T7-like tail tubular protein A; T7-like tail tubular protein A; Tail tuber protein A; gp11; gp55; hypothetical protein; phage tail fiber protein; phage tail protein; predicted phage tail tubular protein A; predicted tail tube protein A; predicted tail tubular protein A; putative phage-related protein; putative tail tuber protein A; putative tail tubular A protein; putative tail tubular protein; putative tail tubular protein A; tail fiber protein; tail fibers protein; tail hub A; tail protein; tail protein A; tail tube; tail tube A; tail tube protein A; tail tuber protein A; tail tubular A protein; tail tubular protein; tail tubular protein A; tail-like protein; tubular protein A; virion structural protein	Partial union of: POG0033; POG2326
VOG4593	Bacteria+Archaea	166	166	3	14	HflC/HflK family inner membrane lipoprotein; HflC/HflK family inner membrane protein; MbpS; SPFH domain / Band 7 family; SPFH domain / Band 7 family protein; SPFH domain / band 7 family protein; SPFH domain band 7 family protein; SPFH domain-containing protein; band 7 protein; band-7 like membrane protein; band-7 protein; band-7-like membrane protein; conserved SPFH domain-containing protein; gp051; gp116; gp20; gp24; gp26; gp27; gp28; gp29; gp30; gp31; gp32; gp33; gp36, bacteriophage/transposase fusion protein; gp48; gp65; gp78; hypothetical conserved protein COG330; hypothetical protein; membrane protein; putative HflC/HflK family inner membrane protein; putative SPFH domain / band 7 protein; putative SPFH domain protein; putative SPFH domain-containing protein/band 7 family protein; putative anti-proliferative protein; putative band 7 lipoprotein; putative band 7 protein; putative lipoprotein; putative membrane protein; putative predicted product; putative prohibitin; putative serine protease; putative transposase fusion protein; serine protease; similar to COG330; transposase; transposase fusion protein	Partial union of: POG0160; POG1182
VOG4594	Bacteria	166	166	2	5	-; HSP90 family molecular chaperone; RIIA; RIIA phage protein; RIIA protector from prophage-induced early lysis; RIIA protein; RIIA protein [Escherichia phage wV7]; RIIA-RIIB membrane-associated; RIIA-RIIB membrane-associated protein; gp16; hypothetical protein; membrane integrity protector; membrane integrity protector, RIIA; membrane-associated affects host membrane ATPase; phage rIIA lysis inhibitor; protector from prophage-induced early lysis; protector from prophage-induced early lysis rIIA; protein rIIA; putative DNA-biding rIIA protein; putative predicted product; putative protector from prophage-induced early lysis; putative rIIA; putative rIIA [Escherichia phage 2 JES-2013]; putative rIIA protein; putative rIIa; putative rIIa-like protein; rIIA; rIIA lysis inhibitor; rIIA membrane-associated affects host membrane ATPase; rIIA membrane-associated protein; rIIA protector; rIIA protector from prophage-induced early lysis; rIIA protein; rIIA-like protector protein; rIIa; rIIa protector from prophage-induced early lysis; rIIa protein	Partial union of: POG0387; POG1974; POG1453; POG3053; POG1674
VOG4595	Bacteria	160	159	2	5	-; DNA end protection protein; DNA end protector; DNA end protector during packaging; DNA end protector protein; DNA end protector protein [Enterobacteria phage vB_EcoM_ACG-C40]; DNA end protector protein during packaging; DNA end protector proteins; Gp2 DNA end protector protein; Putative DNA end protector protein; gp139; gp2; gp2 DNA end protector protein; hypothetical cyanophage protein; hypothetical phage protein; hypothetical protein; phage DNA end protector during packaging; protein protecting DNA ends; putative DNA end protector protein; putative DNA end protector protein (T4 gp02-like); putative DNA end protector protein gp2; putative predicted product	Partial union of: POG1010; POG1802
VOG4596	Bacteria	156	105	3	5	EaA; EaA protein; EaD; EaD protein; EaD-like protein; Eaa protein; Eaa1; Eaa2; Ead-like protein; Hypothetical protein; ORF8; PF04448 family protein; Truncated P22 EaA protein; Upf88.3; Upf89.5; Valyl-tRNA synthetase; conserved hypothetical bacteriophage protein; conserved hypothetical protein; conserved protein of unknown function; ea22; gene 21 protein; gp41; hypothetical protein; putative Eaa protein; putative predicted product; similar to EaA protein of bacteriophage P22	Partial union of: POG0277; POG0276; POG0247; POG2334; POG3484; POG3745
