L1	L2	L3	KO	Function	EC
Lipid transport and metabolism	Trans-2-enoyl-CoA reductase		COG3007	:	
Cell wall/membrane/envelope biogenesis	Intermembrane transporter PqiABC subunit PqiB		COG3008	PqiB:	
Cell wall/membrane/envelope biogenesis	Intermembrane transporter PqiABC lipoprotein subunit PqiC		COG3009	PqiC:	
Carbohydrate transport and metabolism	Putative N-acetylmannosamine-6-phosphate epimerase		COG3010	NanE:	
General function prediction only	Predicted thiol-disulfide oxidoreductase YuxK, DCC family		COG3011	YuxK:	
Function unknown	Uncharacterized conserved protein YchJ, contains N- and C-terminal SEC-C domains		COG3012	YchJ:	
Function unknown	Uncharacterized conserved protein YfbU, UPF0304 family		COG3013	YfbU:	
Function unknown	Uncharacterized conserved protein		COG3014	:	
Cell wall/membrane/envelope biogenesis	Uncharacterized lipoprotein NlpE involved in copper resistance		COG3015	CutF:	
Defense mechanisms	Uncharacterized lipoprotein NlpE involved in copper resistance		COG3015	CutF:	
General function prediction only	Putative heme-binding protein PhuW		COG3016	PhuW:	
Cell wall/membrane/envelope biogenesis	Outer membrane lipoprotein LolB, involved in outer membrane biogenesis		COG3017	LolB:	
Cell motility	Flagellar basal body lipoprotein FlgP, LPP20 family		COG3018	FlgP:	
Function unknown	Uncharacterized metal-binding protein, DUF411 family		COG3019	:	
General function prediction only	Uncharacterized conserved protein YafD, endonuclease/exonuclease/phosphatase (EEP) superfamily		COG3021	YafD:	
Replication, recombination and repair	DNA-binding protein YaaA associated with the oxidative stress response		COG3022	YaaA:	
Cell wall/membrane/envelope biogenesis	N-acetyl-anhydromuramyl-L-alanine amidase AmpD		COG3023	AmpD:	
Replication, recombination and repair	Endogenous inhibitor of DNA gyrase, YacG/DUF329 family		COG3024	YacG:	
Inorganic ion transport and metabolism	Inorganic triphosphatase YgiF, contains CYTH and CHAD domains		COG3025	PPPi:	
Signal transduction mechanisms	RseB, negative regulator of sigma E activity		COG3026	RseB:	
Cell cycle control, cell division, chromosome partitioning	Cell division protein ZapA, inhibits GTPase activity of FtsZ		COG3027	ZapA:	
Translation, ribosomal structure and biogenesis	Ribosomal 50S subunit-associated protein YjgA, DUF615 family		COG3028	YjgA:	
Energy production and conversion	Fumarate reductase subunit C		COG3029	FrdC:	
General function prediction only	FxsA protein affecting phage T7 exclusion by the F plasmid, UPF0716 family		COG3030	FxsA:	
Intracellular trafficking, secretion, and vesicular transport	Type II secretory pathway, component PulC		COG3031	PulC:	
Amino acid transport and metabolism	Tryptophanase		COG3033	TnaA:	
Cell wall/membrane/envelope biogenesis	Murein L,D-transpeptidase YafK		COG3034	YafK:	
Translation, ribosomal structure and biogenesis	Stalled ribosome alternative rescue factor ArfA		COG3036	ArfA:	
Carbohydrate transport and metabolism	Ascorbate-specific PTS system IIC component UlaA		COG3037	UlaA:	
Energy production and conversion	Cytochrome b561		COG3038	CybB:	
Mobilome: prophages, transposons	Transposase and inactivated derivatives, IS5 family		COG3039	IS5:	
Cell wall/membrane/envelope biogenesis	Bacterial lipocalin Blc		COG3040	Blc:	
Translation, ribosomal structure and biogenesis	mRNA-degrading endonuclease YafQ (mRNA interferase), toxin component of the YafQ-DinJ toxin-antitoxin module		COG3041	YafQ:	
Defense mechanisms	mRNA-degrading endonuclease YafQ (mRNA interferase), toxin component of the YafQ-DinJ toxin-antitoxin module		COG3041	YafQ:	
General function prediction only	Putative hemolysin		COG3042	Hlx:	
Energy production and conversion	Nitrate reductase cytochrome c-type subunit NapB		COG3043	NapB:	
Inorganic ion transport and metabolism	Nitrate reductase cytochrome c-type subunit NapB		COG3043	NapB:	
General function prediction only	Predicted ATPase of the ABC class		COG3044	:	
Signal transduction mechanisms	Periplasmic catabolite regulation protein CreA (function unknown)		COG3045	CreA:	
General function prediction only	Uncharacterized conserved protein related to deoxyribodipyrimidine photolyase		COG3046	:	
Cell wall/membrane/envelope biogenesis	Outer membrane protein OmpW		COG3047	OmpW:	
Amino acid transport and metabolism	D-serine dehydratase		COG3048	DsdA:	
Cell wall/membrane/envelope biogenesis	Penicillin V acylase or related amidase, Ntn superfamily		COG3049	YxeI:	
General function prediction only	Penicillin V acylase or related amidase, Ntn superfamily		COG3049	YxeI:	
Replication, recombination and repair	DNA polymerase III, psi subunit		COG3050	HolD:	
Energy production and conversion	Citrate lyase, alpha subunit		COG3051	CitF:	
Energy production and conversion	Acyl-carrier protein (citrate lyase gamma subunit)		COG3052	CitD:	
Energy production and conversion	Citrate lyase synthetase CitC		COG3053	CitC:	
General function prediction only	Predicted transcriptional regulator YtfJ		COG3054	YtfJ:	
Cell wall/membrane/envelope biogenesis	N-acetylneuraminic acid mutarotase		COG3055	NanM:	
Function unknown	Uncharacterized lipoprotein YajG		COG3056	YajG:	
Replication, recombination and repair	Negative regulator of replication initiation SeqA		COG3057	SeqA:	
Energy production and conversion	Formate dehydrogenase maturation protein FdhE		COG3058	FdhE:	
Posttranslational modification, protein turnover, chaperones	Formate dehydrogenase maturation protein FdhE		COG3058	FdhE:	
Defense mechanisms	Reactive chlorine resistance protein RclC/YkgB, DUF417 family		COG3059	YkgB:	
Transcription	Transcriptional regulator MetJ (met regulon)		COG3060	MetJ:	
Amino acid transport and metabolism	Transcriptional regulator MetJ (met regulon)		COG3060	MetJ:	
Cell cycle control, cell division, chromosome partitioning	Cell division protein YtfB/OapA (opacity-associated protein A)		COG3061	OapA:	
Posttranslational modification, protein turnover, chaperones	Cytoplasmic chaperone NapD for the signal peptide of periplasmic nitrate reductase NapAB		COG3062	NapD:	
Cell motility	Type IV pilus assembly protein PilF/PilW		COG3063	PilF:	
Extracellular structures	Type IV pilus assembly protein PilF/PilW		COG3063	PilF:	
Cell wall/membrane/envelope biogenesis	Membrane protein TolA involved in colicin uptake		COG3064	TolA:	
Cell wall/membrane/envelope biogenesis	Starvation-inducible outer membrane lipoprotein Slp		COG3065	Slp:	
Replication, recombination and repair	DNA mismatch repair protein MutH		COG3066	MutH:	
Energy production and conversion	Na+/H+ antiporter NhaB		COG3067	NhaB:	
Inorganic ion transport and metabolism	Na+/H+ antiporter NhaB		COG3067	NhaB:	
Function unknown	Uncharacterized conserved protein YjaG, DUF416 family		COG3068	YjaG:	
Energy production and conversion	C4-dicarboxylate transporter DcuC		COG3069	DcuC:	
Transcription	Transcriptional regulator of competence genes, TfoX/Sxy family		COG3070	TfoX:	
Function unknown	Uncharacterized protein HemY, contains HemY_N domain and TPR repeats (unrelated to protoporphyrinogen oxidase HemY)		COG3071	HemYx:	
Signal transduction mechanisms	Adenylate cyclase, class I		COG3072	CyaA:	
Signal transduction mechanisms	RseA, negative regulator of sigma E activity		COG3073	RseA:	
Cell cycle control, cell division, chromosome partitioning	Cell division protein ZapB, interacts with FtsZ		COG3074	ZapB:	
Amino acid transport and metabolism	Anaerobic glycerol-3-phosphate dehydrogenase		COG3075	GlpB:	
Translation, ribosomal structure and biogenesis	Regulator of RNase E activity RraB		COG3076	RraB:	
Defense mechanisms	Antitoxin component of the RelBE or YafQ-DinJ toxin-antitoxin module		COG3077	RelB:	
Translation, ribosomal structure and biogenesis	Ribosome assembly protein YihI, activator of Der GTPase		COG3078	YihI:	
Function unknown	Uncharacterized conserved protein YgfB, UPF0149 family		COG3079	YgfB:	
Energy production and conversion	Fumarate reductase subunit D		COG3080	FrdD:	
Replication, recombination and repair	dsDNA-binding nucleoid-associated protein YejK/NdpA		COG3081	NdpA:	
Function unknown	Uncharacterized conserved protein YejL, UPF0352 family		COG3082	YejL:	
Cell wall/membrane/envelope biogenesis	Periplasmic protein PbgA/YejM, regulator of the LPS biosynthesis, AlkP superfamily		COG3083	YejM:	
Signal transduction mechanisms	Periplasmic protein PbgA/YejM, regulator of the LPS biosynthesis, AlkP superfamily		COG3083	YejM:	
Function unknown	Uncharacterized conserved protein YihD, DUF1040 family		COG3084	YihD:	
Function unknown	Uncharacterized conserved protein YifE, UPF0438 family		COG3085	YifE:	
Signal transduction mechanisms	RseC, positive regulator of sigma E activity		COG3086	RseC:	
Cell cycle control, cell division, chromosome partitioning	Cell division protein FtsN		COG3087	FtsN:	
Energy production and conversion	Cytochrome c-type biogenesis protein CcmH/NrfF		COG3088	NrfF:	
Posttranslational modification, protein turnover, chaperones	Cytochrome c-type biogenesis protein CcmH/NrfF		COG3088	NrfF:	
Function unknown	Uncharacterized conserved protein YheU, UPF0270 family		COG3089	YheU:	
Carbohydrate transport and metabolism	TRAP-type C4-dicarboxylate transport system, small permease component YiaM		COG3090	DctM:	
General function prediction only	Predicted Zn-dependent metalloprotease, SprT family		COG3091	SprT:	
Function unknown	Uncharacterized membrane protein YfbV, UPF0208 family		COG3092	YfbV:	
Defense mechanisms	Plasmid maintenance system antidote protein VapI, contains XRE-type HTH domain		COG3093	VapI:	
Function unknown	Uncharacterized membrane protein SirB2		COG3094	SirB2:	
Cell cycle control, cell division, chromosome partitioning	Chromosome condensin MukBEF, MukE localization factor		COG3095	MukE:	
Cell cycle control, cell division, chromosome partitioning	Chromosome condensin MukBEF, ATPase and DNA-binding subunit MukB		COG3096	MukB:	
Function unknown	Uncharacterized conserved protein YqfB, UPF0267 family		COG3097	YqfB:	
Function unknown	Uncharacterized conserved protein YqcC, DUF446 family		COG3098	YqcC:	
Function unknown	Uncharacterized conserved protein YciU, UPF0263 family		COG3099	YciU:	
Function unknown	Uncharacterized conserved protein YcgL, UPF0745 family		COG3100	YcgL:	
Translation, ribosomal structure and biogenesis	Elongation factor P hydroxylase EpmC (EF-P beta-lysylation pathway)		COG3101	EpmC:	
General function prediction only	Uncharacterized conserved protein YecM, predicted metalloenzyme		COG3102	YecM:	
General function prediction only	Uncharacterized conserved protein YgiM, contains N-terminal SH3 domain, DUF1202 family		COG3103	YgiM:	
Amino acid transport and metabolism	Dipeptide/tripeptide permease		COG3104	PTR2:	
Function unknown	Uncharacterized membrane-anchored protein YhcB, DUF1043 family		COG3105	YhcB:	
Signal transduction mechanisms	Ras-like GTP-binding stress-induced protein YcjX,  DUF463 family		COG3106	YcjX:	
Cell wall/membrane/envelope biogenesis	Outer membrane lipoprotein LpoA, binds and activates PBP1a		COG3107	LpoA:	
Function unknown	Uncharacterized conserved protein YcbK, DUF882 family		COG3108	YcbK:	
Signal transduction mechanisms	sRNA-binding protein ProQ		COG3109	ProQ:	
Function unknown	Uncharacterized conserved protein YccT, UPF0319 family		COG3110	YccT:	
Function unknown	Predicted periplasmic protein YdeI with OB-fold, BOF family		COG3111	YdeI:	
Function unknown	Uncharacterized conserved protein YacL, UPF0231 family		COG3112	YacL:	
Cell wall/membrane/envelope biogenesis	Binding protein subunit MlaB of the ABC-type intermembrane phospholipid transporter Mla, contains STAS domain		COG3113	MlaB:	
Intracellular trafficking, secretion, and vesicular transport	Heme exporter protein D		COG3114	CcmD:	
Cell cycle control, cell division, chromosome partitioning	Cell division protein ZipA, interacts with FtsZ		COG3115	ZipA:	
Cell cycle control, cell division, chromosome partitioning	Cell division protein FtsL, interacts with FtsB and FtsQ		COG3116	FtsL:	
Cell wall/membrane/envelope biogenesis	Lipopolysaccharide export system protein LptC		COG3117	YrbK:	
Posttranslational modification, protein turnover, chaperones	Chaperedoxin CnoX, contains thioredoxin-like and TPR-like domains, YbbN/TrxSC family		COG3118	CnoX:	
Inorganic ion transport and metabolism	Arylsulfatase A or related enzyme, AlkP superfamily		COG3119	AslA:	
Replication, recombination and repair	Macrodomain Ter protein organizer, MatP/YcbG family		COG3120	MatP:	
Extracellular structures	P pilus assembly protein, chaperone PapD		COG3121	FimC:	
Function unknown	Uncharacterized conserved protein YaiL, DUF2058 family		COG3122	YaiL:	
Nucleotide transport and metabolism	Pyrimidine/purine nucleoside phosphorylase YaiE/PpnP, UPF0345/DUF1255 family		COG3123	PpnP:	
Lipid transport and metabolism	Acyl carrier protein phosphodiesterase		COG3124	AcpH:	
Energy production and conversion	Heme/copper-type cytochrome/quinol oxidase, subunit 4		COG3125	CyoD:	
Function unknown	Uncharacterized lipoprotein YbaY		COG3126	YbaY:	
Secondary metabolites biosynthesis, transport and catabolism	Predicted ABC-type transport system involved in lysophospholipase L1 biosynthesis, permease component		COG3127	YbbP:	
General function prediction only	Predicted 2-oxoglutarate- and Fe(II)-dependent dioxygenase YbiX		COG3128	PiuC:	
Translation, ribosomal structure and biogenesis	23S rRNA A1618 N6-methylase RlmF		COG3129	RlmF:23S rRNA modification	
Translation, ribosomal structure and biogenesis	Ribosome modulation factor		COG3130	Rmf:	
Cell wall/membrane/envelope biogenesis	Periplasmic glucan biosynthesis protein OpgG		COG3131	MdoG:	
Function unknown	Uncharacterized conserved protein YceH, UPF0502 family		COG3132	YceH:	
Cell wall/membrane/envelope biogenesis	Outer membrane lipoprotein SlyB		COG3133	SlyB:	
Function unknown	Uncharacterized conserved protein YcfJ, contains glycine zipper 2TM domain		COG3134	YcfJ:	
Secondary metabolites biosynthesis, transport and catabolism	Predicted benzoate:H+ symporter BenE		COG3135	BenE:	
Function unknown	Dual-topology membrane protein YdgC, GlpM family		COG3136	GlpM:	
Cell wall/membrane/envelope biogenesis	Putative salt-induced outer membrane protein YdiY		COG3137	YdiY:	
Amino acid transport and metabolism	Arginine/ornithine N-succinyltransferase beta subunit		COG3138	AstA:	
Function unknown	Uncharacterized conserved protein YeaC, DUF1315 family		COG3139	yeaC:	
Function unknown	Uncharacterized conserved protein YoaH, UPF0181 family		COG3140	yoaH:	
Replication, recombination and repair	dsDNA-binding SOS-regulon protein YebG, induction by DNA damage requires cAMP		COG3141	YebG:	
Inorganic ion transport and metabolism	Copper homeostasis protein CutC		COG3142	CutC:	
Cell motility	Phosphoaspartate phosphatase CheZ, dephosphorylates CheY~P		COG3143	CheZ:	
Signal transduction mechanisms	Phosphoaspartate phosphatase CheZ, dephosphorylates CheY~P		COG3143	CheZ:	
Cell motility	Flagellar hook-length control protein FliK		COG3144	FliK:	
Replication, recombination and repair	Alkylated DNA repair dioxygenase AlkB		COG3145	AlkB:	
General function prediction only	Predicted N-acyltransferase		COG3146	:	
