L1	ID	Function	EC	UNIPROT ID
Function unknown	VOG15155	ORF 55		
Function unknown	VOG15156	hypothetical protein		
Function unknown	VOG15157	clamp loader of DNA polymerase		
Function unknown	VOG15158	hypothetical protein		
Function unknown	VOG15159	hypothetical protein		
Function unknown	VOG15160	hypothetical protein		
Virus protein with function beneficial for the virus | Virus replication | Virus structure	VOG15161	Internal virion protein gp15		GP15_BPT7
Function unknown	VOG15162	hypothetical protein		
Function unknown	VOG15163	membrane protein		
Function unknown	VOG15164	hypothetical protein		
Virus protein with function beneficial for the host | Virus protein with function beneficial for the virus | Virus replication | Virus structure	VOG15165	Genome polyprotein		POLG_HAVH2
Function unknown	VOG15166	Uncharacterized protein 020R		020R_FRG3G
Function unknown	VOG15167	hypothetical protein		
Function unknown	VOG15168	hypothetical protein		
Function unknown	VOG15169	hypothetical protein		
Function unknown	VOG15170	unknown similar to AMEV198		
Function unknown	VOG15171	hypothetical protein		
Function unknown	VOG15172	Cy228.1		
Function unknown	VOG15173	hypothetical protein		
Function unknown	VOG15174	hypothetical protein		
Function unknown	VOG15175	hypothetical protein		
Function unknown	VOG15176	hypothetical protein		
Function unknown	VOG15177	hypothetical protein		
Function unknown	VOG15178	hypothetical protein		
Function unknown	VOG15179	hypothetical protein		
Function unknown	VOG15180	hypothetical protein		
Function unknown	VOG15181	Exodeoxyribonuclease YycJ		YYCJ_BACSU
Function unknown	VOG15182	hypothetical protein		
Function unknown	VOG15183	hypothetical protein		
Function unknown	VOG15184	tail protein		
Function unknown	VOG15185	hypothetical protein		
Function unknown	VOG15186	hypothetical protein		
Function unknown	VOG15187	hypothetical protein		
Function unknown	VOG15188	hypothetical protein		
Function unknown	VOG15189	hypothetical protein		
Function unknown	VOG15190	hypothetical protein		
Function unknown	VOG15191	hypothetical protein		
Function unknown	VOG15192	peptidase		
Function unknown	VOG15193	hypothetical protein		
Function unknown	VOG15194	hypothetical protein		
Function unknown	VOG15195	hypothetical protein		
Function unknown	VOG15196	hypothetical protein		
Function unknown	VOG15197	hypothetical protein		
Function unknown	VOG15198	hypothetical protein		
Function unknown	VOG15199	Uncharacterized 37.2 kDa protein		Y011_NPVOP
Function unknown	VOG15200	hypothetical protein		
Function unknown	VOG15201	hypothetical protein		
Function unknown	VOG15202	hypothetical protein		
Function unknown	VOG15203	hypothetical protein		
Function unknown	VOG15204	hypothetical protein		
Function unknown	VOG15205	hypothetical protein		
Function unknown	VOG15206	hypothetical protein		
Function unknown	VOG15207	hypothetical protein		
Function unknown	VOG15208	hypothetical protein		
Function unknown	VOG15209	hypothetical protein		
Function unknown	VOG15210	hypothetical protein		
Function unknown	VOG15211	hypothetical protein		
Function unknown	VOG15212	hypothetical protein		
Function unknown	VOG15213	hypothetical protein		
Function unknown	VOG15214	hypothetical protein		
Function unknown	VOG15215	hypothetical protein		
Virus structure	VOG15216	Major capsid protein P2		CAPSD_BPPM2
Function unknown	VOG15217	arylsulfatase		
Function unknown	VOG15218	hypothetical protein		
Function unknown	VOG15219	hypothetical protein		
Function unknown	VOG15220	hypothetical protein		
Function unknown	VOG15221	hypothetical protein		
Function unknown	VOG15222	hypothetical protein		
Function unknown	VOG15223	DUF5067 domain-containing protein		
Function unknown	VOG15224	hypothetical protein		
Function unknown	VOG15225	hypothetical protein		
Function unknown	VOG15226	DNA helicase		
Function unknown	VOG15227	hypothetical protein		
Function unknown	VOG15228	hypothetical protein		
Function unknown	VOG15229	Uncharacterized 11.3 kDa protein in lys 3'region		YO26_BPHC1
Function unknown	VOG15230	hypothetical protein		
Function unknown	VOG15231	Rho-associated, coiled-coil containing protein kinase 2		
Function unknown	VOG15232	hypothetical protein		
Function unknown	VOG15233	hypothetical protein		
Function unknown	VOG15234	hypothetical protein		
Function unknown	VOG15235	hypothetical protein		
Function unknown	VOG15236	hypothetical protein		
Function unknown	VOG15237	hypothetical protein		
Function unknown	VOG15238	hypothetical protein		
Function unknown	VOG15239	hypothetical protein		
Virus replication | Virus structure	VOG15240	Assembly protein P7		P7_BPPH6
Function unknown	VOG15241	hypothetical protein		
Function unknown	VOG15242	hypothetical protein		
Function unknown	VOG15243	hypothetical protein		
Function unknown	VOG15244	hypothetical protein		
Function unknown	VOG15245	hypothetical protein		
Function unknown	VOG15246	hypothetical protein		
Function unknown	VOG15247	hypothetical protein		
Function unknown	VOG15248	hypothetical protein		
Function unknown	VOG15249	hypothetical protein		
Function unknown	VOG15250	hypothetical protein		
Function unknown	VOG15251	hypothetical protein		
Function unknown	VOG15252	hypothetical protein		
Function unknown	VOG15253	hypothetical protein		
Function unknown	VOG15254	hypothetical protein		
Function unknown	VOG15255	hypothetical protein		
Function unknown	VOG15256	flagellar protein		
Function unknown	VOG15257	hypothetical protein		
Function unknown	VOG15258	hypothetical protein		
Function unknown	VOG15259	hypothetical protein		
Function unknown	VOG15260	hypothetical protein		
Function unknown	VOG15261	hypothetical protein		
Function unknown	VOG15262	hypothetical protein		
Function unknown	VOG15263	hypothetical protein		
Function unknown	VOG15264	hypothetical protein		
Function unknown	VOG15265	hypothetical protein		
Function unknown	VOG15266	hypothetical protein		
Function unknown	VOG15267	HNH endonuclease		
Function unknown	VOG15268	phenylalanyl-tRNA synthetase alpha subunit		
Function unknown	VOG15269	hypothetical protein		
Function unknown	VOG15270	hypothetical protein		
Function unknown	VOG15271	hypothetical protein		
Function unknown	VOG15272	hypothetical protein		
Function unknown	VOG15273	hypothetical protein		
Function unknown	VOG15274	hypothetical protein		
Function unknown	VOG15275	hypothetical protein		
Function unknown	VOG15276	hypothetical protein		
Function unknown	VOG15277	hypothetical protein		
Function unknown	VOG15278	gp252		
Function unknown	VOG15279	hypothetical protein		
Function unknown	VOG15280	hypothetical protein		
Function unknown	VOG15281	hypothetical protein		
Function unknown	VOG15282	hypothetical protein		
Function unknown	VOG15283	hypothetical protein		
Function unknown	VOG15284	gp262		
Function unknown	VOG15285	hypothetical protein		
Function unknown	VOG15286	hypothetical protein		
Function unknown	VOG15287	hypothetical protein		
Function unknown	VOG15288	hypothetical protein		
Function unknown	VOG15289	hypothetical protein		
Function unknown	VOG15290	hypothetical protein		
Function unknown	VOG15291	hypothetical protein		
Function unknown	VOG15292	hypothetical protein		
Function unknown	VOG15293	hypothetical protein		
Function unknown	VOG15294	hypothetical protein		
Function unknown	VOG15295	hypothetical protein		
Function unknown	VOG15296	Uncharacterized protein ORF29		VG29_ICHVA
Virus protein with function beneficial for the host | Virus protein with function beneficial for the virus | Virus replication | Virus structure	VOG15297	Genome polyprotein		POLG_TMEVB
Function unknown	VOG15298	hypothetical protein		
Function unknown	VOG15299	hypothetical protein		
Function unknown	VOG15300	hypothetical protein		
Function unknown	VOG15301	hypothetical protein		
Function unknown	VOG15302	hypothetical protein		
Function unknown	VOG15303	hypothetical protein		
Function unknown	VOG15304	hypothetical protein		
Function unknown	VOG15305	tail tube protein		
Function unknown	VOG15306	hypothetical protein		
Function unknown	VOG15307	hypothetical protein		
Function unknown	VOG15308	hypothetical protein		
Function unknown	VOG15309	hypothetical protein		
Function unknown	VOG15310	hypothetical protein		
Function unknown	VOG15311	hypothetical protein		
Function unknown	VOG15312	hypothetical protein		
Function unknown	VOG15313	hypothetical protein		
Function unknown	VOG15314	head scaffolding protein		
Function unknown	VOG15315	hypothetical protein		
Function unknown	VOG15316	hypothetical protein		
Function unknown	VOG15317	hypothetical protein		
Function unknown	VOG15318	membrane lipoprotein		
Function unknown	VOG15319	hypothetical protein		
Function unknown	VOG15320	hypothetical protein		
Function unknown	VOG15321	hypothetical protein		
Function unknown	VOG15322	hypothetical protein		
Function unknown	VOG15323	hypothetical protein		
Function unknown	VOG15324	hypothetical protein		
Function unknown	VOG15325	hypothetical protein		
Function unknown	VOG15326	hypothetical protein		
Function unknown	VOG15327	hypothetical protein		
Function unknown	VOG15328	hypothetical protein		
Function unknown	VOG15329	hypothetical protein		
Function unknown	VOG15330	hypothetical protein		
Function unknown	VOG15331	putative orfan		
Function unknown	VOG15332	hypothetical protein		
Function unknown	VOG15333	hypothetical protein		
Function unknown	VOG15334	hypothetical protein		
Function unknown	VOG15335	hypothetical protein		
Function unknown	VOG15336	hypothetical protein		
Function unknown	VOG15337	Uncharacterized protein ORF52		VG52_ICHVA
Function unknown	VOG15338	hypothetical protein		
Function unknown	VOG15339	hypothetical protein		
Function unknown	VOG15340	hypothetical protein		
Function unknown	VOG15341	hypothetical protein		
Function unknown	VOG15342	Protein rexA		REXA_LAMBD
Function unknown	VOG15343	hypothetical protein		
Function unknown	VOG15344	hypothetical protein		
Virus protein with function beneficial for the virus	VOG15345	Gene product 8		GP8_BPN4
Function unknown	VOG15346	hypothetical protein		
Function unknown	VOG15347	hypothetical protein		
Function unknown	VOG15348	hypothetical protein		
Function unknown	VOG15349	hypothetical protein		
Function unknown	VOG15350	hypothetical protein		
Function unknown	VOG15351	hypothetical protein		
Function unknown	VOG15352	hypothetical protein		
Function unknown	VOG15353	hypothetical protein		
Function unknown	VOG15354	hypothetical protein		
Function unknown	VOG15355	hypothetical protein		
Virus replication	VOG15356	Ribosome hibernation promoting factor		HPF_KLEOX
Function unknown	VOG15357	E4 34K		
Function unknown	VOG15358	hypothetical protein		
Function unknown	VOG15359	hypothetical protein		
Function unknown	VOG15360	hypothetical protein		
Function unknown	VOG15361	hypothetical protein		
Function unknown	VOG15362	hypothetical protein		
Function unknown	VOG15363	hypothetical protein		
Function unknown	VOG15364	hypothetical protein		
Function unknown	VOG15365	hypothetical protein		
Function unknown	VOG15366	hypothetical protein		
Function unknown	VOG15367	hypothetical protein		
Function unknown	VOG15368	hypothetical protein		
Function unknown	VOG15369	hypothetical protein		
Function unknown	VOG15370	hypothetical protein		
Function unknown	VOG15371	hypothetical protein		
Function unknown	VOG15372	hypothetical protein		
Function unknown	VOG15373	virion structural protein		
Function unknown	VOG15374	hypothetical protein		
Function unknown	VOG15375	hypothetical protein		
Function unknown	VOG15376	hypothetical protein		
Function unknown	VOG15377	hypothetical protein		
Function unknown	VOG15378	hypothetical protein		
Function unknown	VOG15379	hypothetical protein		
Function unknown	VOG15380	Putative transmembrane protein ORF166		Y166_ABVP
Function unknown	VOG15381	hypothetical protein		
Function unknown	VOG15382	hypothetical protein		
Function unknown	VOG15383	hypothetical protein		
Function unknown	VOG15384	hypothetical protein		
Function unknown	VOG15385	hypothetical protein		
Function unknown	VOG15386	hypothetical protein		
Function unknown	VOG15387	hypothetical protein		
Function unknown	VOG15388	hypothetical protein		
Function unknown	VOG15389	unknown similar to AMEV090		
Function unknown	VOG15390	hypothetical protein		
Function unknown	VOG15391	head decoration		
Function unknown	VOG15392	hypothetical protein		
Function unknown	VOG15393	hypothetical protein		
Function unknown	VOG15394	hypothetical protein		
Function unknown	VOG15395	hypothetical protein		
Function unknown	VOG15396	protein ORF51		
Function unknown	VOG15397	Uncharacterized protein R860		YR860_MIMIV
Function unknown	VOG15398	hypothetical protein		
Function unknown	VOG15399	FHA domain-containing protein		
Function unknown	VOG15400	hypothetical protein		
Function unknown	VOG15401	hypothetical protein		
Function unknown	VOG15402	hypothetical protein		
Function unknown	VOG15403	hypothetical protein		
Function unknown	VOG15404	hypothetical protein		
Function unknown	VOG15405	hypothetical protein		
